image_path,category,width,height,aspect_ratio,channels,avg_intensity
dataset/train\Batik Bali\0.jpg,Batik Bali,224,224,1.0,3,108.88
dataset/train\Batik Bali\1.jpg,Batik Bali,224,224,1.0,3,147.77
dataset/train\Batik Bali\10.jpg,Batik Bali,224,224,1.0,3,104.28
dataset/train\Batik Bali\11.jpg,Batik Bali,224,224,1.0,3,127.69
dataset/train\Batik Bali\12.jpg,Batik Bali,224,224,1.0,3,101.42
dataset/train\Batik Bali\13.jpg,Batik Bali,224,224,1.0,3,86.07
dataset/train\Batik Bali\14.jpg,Batik Bali,224,224,1.0,3,95.26
dataset/train\Batik Bali\15.jpg,Batik Bali,224,224,1.0,3,165.98
dataset/train\Batik Bali\16.jpg,Batik Bali,224,224,1.0,3,173.83
dataset/train\Batik Bali\17.jpg,Batik Bali,224,224,1.0,3,79.97
dataset/train\Batik Bali\18.jpg,Batik Bali,224,224,1.0,3,95.2
dataset/train\Batik Bali\19.jpg,Batik Bali,224,224,1.0,3,94.15
dataset/train\Batik Bali\2.jpg,Batik Bali,224,224,1.0,3,82.01
dataset/train\Batik Bali\20.jpg,Batik Bali,224,224,1.0,3,134.06
dataset/train\Batik Bali\21.jpg,Batik Bali,224,224,1.0,3,120.32
dataset/train\Batik Bali\22.jpg,Batik Bali,224,224,1.0,3,174.11
dataset/train\Batik Bali\23.jpg,Batik Bali,224,224,1.0,3,119.27
dataset/train\Batik Bali\24.jpg,Batik Bali,224,224,1.0,3,109.35
dataset/train\Batik Bali\25.jpg,Batik Bali,224,224,1.0,3,99.01
dataset/train\Batik Bali\26.jpg,Batik Bali,224,224,1.0,3,77.59
dataset/train\Batik Bali\27.jpg,Batik Bali,224,224,1.0,3,109.59
dataset/train\Batik Bali\28.jpg,Batik Bali,224,224,1.0,3,84.45
dataset/train\Batik Bali\29.jpg,Batik Bali,224,224,1.0,3,118.97
dataset/train\Batik Bali\3.jpg,Batik Bali,224,224,1.0,3,174.51
dataset/train\Batik Bali\30.jpg,Batik Bali,224,224,1.0,3,110.08
dataset/train\Batik Bali\31.jpg,Batik Bali,224,224,1.0,3,129.34
dataset/train\Batik Bali\32.jpg,Batik Bali,224,224,1.0,3,215.97
dataset/train\Batik Bali\33.jpg,Batik Bali,224,224,1.0,3,192.69
dataset/train\Batik Bali\34.jpg,Batik Bali,224,224,1.0,3,182.82
dataset/train\Batik Bali\35.jpg,Batik Bali,224,224,1.0,3,82.2
dataset/train\Batik Bali\36.jpg,Batik Bali,224,224,1.0,3,172.65
dataset/train\Batik Bali\37.jpg,Batik Bali,224,224,1.0,3,136.72
dataset/train\Batik Bali\38.jpg,Batik Bali,224,224,1.0,3,105.32
dataset/train\Batik Bali\39.jpg,Batik Bali,224,224,1.0,3,86.91
dataset/train\Batik Bali\4.jpg,Batik Bali,224,224,1.0,3,112.36
dataset/train\Batik Bali\40.jpg,Batik Bali,224,224,1.0,3,55.96
dataset/train\Batik Bali\41.jpg,Batik Bali,224,224,1.0,3,138.84
dataset/train\Batik Bali\42.jpg,Batik Bali,224,224,1.0,3,186.76
dataset/train\Batik Bali\43.jpg,Batik Bali,224,224,1.0,3,163.37
dataset/train\Batik Bali\44.jpg,Batik Bali,224,224,1.0,3,110.02
dataset/train\Batik Bali\45.jpg,Batik Bali,224,224,1.0,3,186.4
dataset/train\Batik Bali\46.jpg,Batik Bali,224,224,1.0,3,112.93
dataset/train\Batik Bali\47.jpg,Batik Bali,224,224,1.0,3,151.06
dataset/train\Batik Bali\48.jpg,Batik Bali,224,224,1.0,3,113.53
dataset/train\Batik Bali\49.jpg,Batik Bali,224,224,1.0,3,106.4
dataset/train\Batik Bali\5.jpg,Batik Bali,224,224,1.0,3,135.73
dataset/train\Batik Bali\50.jpg,Batik Bali,224,224,1.0,3,117.97
dataset/train\Batik Bali\51.jpg,Batik Bali,224,224,1.0,3,90.86
dataset/train\Batik Bali\52.jpg,Batik Bali,224,224,1.0,3,117.24
dataset/train\Batik Bali\53.jpg,Batik Bali,224,224,1.0,3,178.42
dataset/train\Batik Bali\54.jpg,Batik Bali,224,224,1.0,3,102.31
dataset/train\Batik Bali\55.jpg,Batik Bali,224,224,1.0,3,115.13
dataset/train\Batik Bali\56.jpg,Batik Bali,224,224,1.0,3,143.15
dataset/train\Batik Bali\57.jpg,Batik Bali,224,224,1.0,3,94.5
dataset/train\Batik Bali\58.jpg,Batik Bali,224,224,1.0,3,96.57
dataset/train\Batik Bali\59.jpg,Batik Bali,224,224,1.0,3,138.89
dataset/train\Batik Bali\6.jpg,Batik Bali,224,224,1.0,3,131.52
dataset/train\Batik Bali\60.jpg,Batik Bali,224,224,1.0,3,113.66
dataset/train\Batik Bali\61.jpg,Batik Bali,224,224,1.0,3,191.35
dataset/train\Batik Bali\62.jpg,Batik Bali,224,224,1.0,3,116.49
dataset/train\Batik Bali\63.jpg,Batik Bali,224,224,1.0,3,174.23
dataset/train\Batik Bali\64.jpg,Batik Bali,224,224,1.0,3,112.58
dataset/train\Batik Bali\65.jpg,Batik Bali,224,224,1.0,3,186.25
dataset/train\Batik Bali\66.jpg,Batik Bali,224,224,1.0,3,80.83
dataset/train\Batik Bali\67.jpg,Batik Bali,224,224,1.0,3,68.42
dataset/train\Batik Bali\68.jpg,Batik Bali,224,224,1.0,3,111.18
dataset/train\Batik Bali\69.jpg,Batik Bali,224,224,1.0,3,100.79
dataset/train\Batik Bali\7.jpg,Batik Bali,224,224,1.0,3,125.68
dataset/train\Batik Bali\8.jpg,Batik Bali,224,224,1.0,3,96.5
dataset/train\Batik Bali\9.jpg,Batik Bali,224,224,1.0,3,85.09
dataset/train\Batik Betawi\0.jpg,Batik Betawi,224,224,1.0,3,109.45
dataset/train\Batik Betawi\1.jpg,Batik Betawi,224,224,1.0,3,97.13
dataset/train\Batik Betawi\10.jpg,Batik Betawi,224,224,1.0,3,106.4
dataset/train\Batik Betawi\11.jpg,Batik Betawi,224,224,1.0,3,122.07
dataset/train\Batik Betawi\12.jpg,Batik Betawi,224,224,1.0,3,61.06
dataset/train\Batik Betawi\13.jpg,Batik Betawi,224,224,1.0,3,106.79
dataset/train\Batik Betawi\14.jpg,Batik Betawi,224,224,1.0,3,106.8
dataset/train\Batik Betawi\15.jpg,Batik Betawi,224,224,1.0,3,162.25
dataset/train\Batik Betawi\16.jpg,Batik Betawi,224,224,1.0,3,88.83
dataset/train\Batik Betawi\17.jpg,Batik Betawi,224,224,1.0,3,107.56
dataset/train\Batik Betawi\18.jpg,Batik Betawi,224,224,1.0,3,112.14
dataset/train\Batik Betawi\19.jpg,Batik Betawi,224,224,1.0,3,105.58
dataset/train\Batik Betawi\2.jpg,Batik Betawi,224,224,1.0,3,110.62
dataset/train\Batik Betawi\20.jpg,Batik Betawi,224,224,1.0,3,108.3
dataset/train\Batik Betawi\21.jpg,Batik Betawi,224,224,1.0,3,121.63
dataset/train\Batik Betawi\22.jpg,Batik Betawi,224,224,1.0,3,102.73
dataset/train\Batik Betawi\23.jpg,Batik Betawi,224,224,1.0,3,141.04
dataset/train\Batik Betawi\24.jpg,Batik Betawi,224,224,1.0,3,110.95
dataset/train\Batik Betawi\25.jpg,Batik Betawi,224,224,1.0,3,122.08
dataset/train\Batik Betawi\26.jpg,Batik Betawi,224,224,1.0,3,112.87
dataset/train\Batik Betawi\27.jpg,Batik Betawi,224,224,1.0,3,90.86
dataset/train\Batik Betawi\28.jpg,Batik Betawi,224,224,1.0,3,111.2
dataset/train\Batik Betawi\29.jpg,Batik Betawi,224,224,1.0,3,97.54
dataset/train\Batik Betawi\3.jpg,Batik Betawi,224,224,1.0,3,104.88
dataset/train\Batik Betawi\30.jpg,Batik Betawi,224,224,1.0,3,163.78
dataset/train\Batik Betawi\31.jpg,Batik Betawi,224,224,1.0,3,79.1
dataset/train\Batik Betawi\32.jpg,Batik Betawi,224,224,1.0,3,112.55
dataset/train\Batik Betawi\33.jpg,Batik Betawi,224,224,1.0,3,125.9
dataset/train\Batik Betawi\34.jpg,Batik Betawi,224,224,1.0,3,118.94
dataset/train\Batik Betawi\35.jpg,Batik Betawi,224,224,1.0,3,99.83
dataset/train\Batik Betawi\36.jpg,Batik Betawi,224,224,1.0,3,128.12
dataset/train\Batik Betawi\37.jpg,Batik Betawi,224,224,1.0,3,106.31
dataset/train\Batik Betawi\38.jpg,Batik Betawi,224,224,1.0,3,97.46
dataset/train\Batik Betawi\39.jpg,Batik Betawi,224,224,1.0,3,84.54
dataset/train\Batik Betawi\4.jpg,Batik Betawi,224,224,1.0,3,138.28
dataset/train\Batik Betawi\40.jpg,Batik Betawi,224,224,1.0,3,136.03
dataset/train\Batik Betawi\41.jpg,Batik Betawi,224,224,1.0,3,144.65
dataset/train\Batik Betawi\42.jpg,Batik Betawi,224,224,1.0,3,102.96
dataset/train\Batik Betawi\43.jpg,Batik Betawi,224,224,1.0,3,88.61
dataset/train\Batik Betawi\44.jpg,Batik Betawi,224,224,1.0,3,136.51
dataset/train\Batik Betawi\45.jpg,Batik Betawi,224,224,1.0,3,111.95
dataset/train\Batik Betawi\46.jpg,Batik Betawi,224,224,1.0,3,102.75
dataset/train\Batik Betawi\47.jpg,Batik Betawi,224,224,1.0,3,71.15
dataset/train\Batik Betawi\48.jpg,Batik Betawi,224,224,1.0,3,49.43
dataset/train\Batik Betawi\49.jpg,Batik Betawi,224,224,1.0,3,122.48
dataset/train\Batik Betawi\5.jpg,Batik Betawi,224,224,1.0,3,130.33
dataset/train\Batik Betawi\50.jpg,Batik Betawi,224,224,1.0,3,99.91
dataset/train\Batik Betawi\51.jpg,Batik Betawi,224,224,1.0,3,65.26
dataset/train\Batik Betawi\52.jpg,Batik Betawi,224,224,1.0,3,76.16
dataset/train\Batik Betawi\53.jpg,Batik Betawi,224,224,1.0,3,54.7
dataset/train\Batik Betawi\54.jpg,Batik Betawi,224,224,1.0,3,105.73
dataset/train\Batik Betawi\55.jpg,Batik Betawi,224,224,1.0,3,102.38
dataset/train\Batik Betawi\56.jpg,Batik Betawi,224,224,1.0,3,88.35
dataset/train\Batik Betawi\57.jpg,Batik Betawi,224,224,1.0,3,73.73
dataset/train\Batik Betawi\58.jpg,Batik Betawi,224,224,1.0,3,91.73
dataset/train\Batik Betawi\59.jpg,Batik Betawi,224,224,1.0,3,91.34
dataset/train\Batik Betawi\6.jpg,Batik Betawi,224,224,1.0,3,87.53
dataset/train\Batik Betawi\60.jpg,Batik Betawi,224,224,1.0,3,106.8
dataset/train\Batik Betawi\61.jpg,Batik Betawi,224,224,1.0,3,135.08
dataset/train\Batik Betawi\62.jpg,Batik Betawi,224,224,1.0,3,82.89
dataset/train\Batik Betawi\63.jpg,Batik Betawi,224,224,1.0,3,123.69
dataset/train\Batik Betawi\64.jpg,Batik Betawi,224,224,1.0,3,92.03
dataset/train\Batik Betawi\65.jpg,Batik Betawi,224,224,1.0,3,122.32
dataset/train\Batik Betawi\66.jpg,Batik Betawi,224,224,1.0,3,113.5
dataset/train\Batik Betawi\67.jpg,Batik Betawi,224,224,1.0,3,113.63
dataset/train\Batik Betawi\68.jpg,Batik Betawi,224,224,1.0,3,112.09
dataset/train\Batik Betawi\69.jpg,Batik Betawi,224,224,1.0,3,110.62
dataset/train\Batik Betawi\7.jpg,Batik Betawi,224,224,1.0,3,141.94
dataset/train\Batik Betawi\8.jpg,Batik Betawi,224,224,1.0,3,168.23
dataset/train\Batik Betawi\9.jpg,Batik Betawi,224,224,1.0,3,108.3
dataset/train\Batik Cendrawasih\0.jpg,Batik Cendrawasih,224,224,1.0,3,100.17
dataset/train\Batik Cendrawasih\1.jpg,Batik Cendrawasih,224,224,1.0,3,119.21
dataset/train\Batik Cendrawasih\10.jpg,Batik Cendrawasih,224,224,1.0,3,126.63
dataset/train\Batik Cendrawasih\11.jpg,Batik Cendrawasih,224,224,1.0,3,93.02
dataset/train\Batik Cendrawasih\12.jpg,Batik Cendrawasih,224,224,1.0,3,91.65
dataset/train\Batik Cendrawasih\13.jpg,Batik Cendrawasih,224,224,1.0,3,95.6
dataset/train\Batik Cendrawasih\14.jpg,Batik Cendrawasih,224,224,1.0,3,121.92
dataset/train\Batik Cendrawasih\15.jpg,Batik Cendrawasih,224,224,1.0,3,101.55
dataset/train\Batik Cendrawasih\16.jpg,Batik Cendrawasih,224,224,1.0,3,175.18
dataset/train\Batik Cendrawasih\17.jpg,Batik Cendrawasih,224,224,1.0,3,116.31
dataset/train\Batik Cendrawasih\18.jpg,Batik Cendrawasih,224,224,1.0,3,156.09
dataset/train\Batik Cendrawasih\19.jpg,Batik Cendrawasih,224,224,1.0,3,41.61
dataset/train\Batik Cendrawasih\2.jpg,Batik Cendrawasih,224,224,1.0,3,92.18
dataset/train\Batik Cendrawasih\20.jpg,Batik Cendrawasih,224,224,1.0,3,62.87
dataset/train\Batik Cendrawasih\21.jpg,Batik Cendrawasih,224,224,1.0,3,145.88
dataset/train\Batik Cendrawasih\22.jpg,Batik Cendrawasih,224,224,1.0,3,103.03
dataset/train\Batik Cendrawasih\23.jpg,Batik Cendrawasih,224,224,1.0,3,111.73
dataset/train\Batik Cendrawasih\24.jpg,Batik Cendrawasih,224,224,1.0,3,56.48
dataset/train\Batik Cendrawasih\25.jpg,Batik Cendrawasih,224,224,1.0,3,113.29
dataset/train\Batik Cendrawasih\26.jpg,Batik Cendrawasih,224,224,1.0,3,106.2
dataset/train\Batik Cendrawasih\27.jpg,Batik Cendrawasih,224,224,1.0,3,104.78
dataset/train\Batik Cendrawasih\28.jpg,Batik Cendrawasih,224,224,1.0,3,116.36
dataset/train\Batik Cendrawasih\29.jpg,Batik Cendrawasih,224,224,1.0,3,102.14
dataset/train\Batik Cendrawasih\3.jpg,Batik Cendrawasih,224,224,1.0,3,114.06
dataset/train\Batik Cendrawasih\30.jpg,Batik Cendrawasih,224,224,1.0,3,114.31
dataset/train\Batik Cendrawasih\31.jpg,Batik Cendrawasih,224,224,1.0,3,93.1
dataset/train\Batik Cendrawasih\32.jpg,Batik Cendrawasih,224,224,1.0,3,106.24
dataset/train\Batik Cendrawasih\33.jpg,Batik Cendrawasih,224,224,1.0,3,130.81
dataset/train\Batik Cendrawasih\34.jpg,Batik Cendrawasih,224,224,1.0,3,118.49
dataset/train\Batik Cendrawasih\35.jpg,Batik Cendrawasih,224,224,1.0,3,160.71
dataset/train\Batik Cendrawasih\36.jpg,Batik Cendrawasih,224,224,1.0,3,146.06
dataset/train\Batik Cendrawasih\37.jpg,Batik Cendrawasih,224,224,1.0,3,168.4
dataset/train\Batik Cendrawasih\38.jpg,Batik Cendrawasih,224,224,1.0,3,103.07
dataset/train\Batik Cendrawasih\39.jpg,Batik Cendrawasih,224,224,1.0,3,133.03
dataset/train\Batik Cendrawasih\4.jpg,Batik Cendrawasih,224,224,1.0,3,140.95
dataset/train\Batik Cendrawasih\40.jpg,Batik Cendrawasih,224,224,1.0,3,116.55
dataset/train\Batik Cendrawasih\41.jpg,Batik Cendrawasih,224,224,1.0,3,113.72
dataset/train\Batik Cendrawasih\42.jpg,Batik Cendrawasih,224,224,1.0,3,124.29
dataset/train\Batik Cendrawasih\43.jpg,Batik Cendrawasih,224,224,1.0,3,121.74
dataset/train\Batik Cendrawasih\44.jpg,Batik Cendrawasih,224,224,1.0,3,123.77
dataset/train\Batik Cendrawasih\45.jpg,Batik Cendrawasih,224,224,1.0,3,76.52
dataset/train\Batik Cendrawasih\46.jpg,Batik Cendrawasih,224,224,1.0,3,106.32
dataset/train\Batik Cendrawasih\47.jpg,Batik Cendrawasih,224,224,1.0,3,100.54
dataset/train\Batik Cendrawasih\48.jpg,Batik Cendrawasih,224,224,1.0,3,121.41
dataset/train\Batik Cendrawasih\49.jpg,Batik Cendrawasih,224,224,1.0,3,92.41
dataset/train\Batik Cendrawasih\5.jpg,Batik Cendrawasih,224,224,1.0,3,116.25
dataset/train\Batik Cendrawasih\50.jpg,Batik Cendrawasih,224,224,1.0,3,50.85
dataset/train\Batik Cendrawasih\51.jpg,Batik Cendrawasih,224,224,1.0,3,92.71
dataset/train\Batik Cendrawasih\52.jpg,Batik Cendrawasih,224,224,1.0,3,77.08
dataset/train\Batik Cendrawasih\53.jpg,Batik Cendrawasih,224,224,1.0,3,56.48
dataset/train\Batik Cendrawasih\54.jpg,Batik Cendrawasih,224,224,1.0,3,89.51
dataset/train\Batik Cendrawasih\55.jpg,Batik Cendrawasih,224,224,1.0,3,32.19
dataset/train\Batik Cendrawasih\56.jpg,Batik Cendrawasih,224,224,1.0,3,74.96
dataset/train\Batik Cendrawasih\57.jpg,Batik Cendrawasih,224,224,1.0,3,106.72
dataset/train\Batik Cendrawasih\58.jpg,Batik Cendrawasih,224,224,1.0,3,44.97
dataset/train\Batik Cendrawasih\59.jpg,Batik Cendrawasih,224,224,1.0,3,99.41
dataset/train\Batik Cendrawasih\6.jpg,Batik Cendrawasih,224,224,1.0,3,96.94
dataset/train\Batik Cendrawasih\60.jpg,Batik Cendrawasih,224,224,1.0,3,119.95
dataset/train\Batik Cendrawasih\61.jpg,Batik Cendrawasih,224,224,1.0,3,67.06
dataset/train\Batik Cendrawasih\62.jpg,Batik Cendrawasih,224,224,1.0,3,114.78
dataset/train\Batik Cendrawasih\63.jpg,Batik Cendrawasih,224,224,1.0,3,81.74
dataset/train\Batik Cendrawasih\64.jpg,Batik Cendrawasih,224,224,1.0,3,142.39
dataset/train\Batik Cendrawasih\65.jpg,Batik Cendrawasih,224,224,1.0,3,82.28
dataset/train\Batik Cendrawasih\66.jpg,Batik Cendrawasih,224,224,1.0,3,70.54
dataset/train\Batik Cendrawasih\67.jpg,Batik Cendrawasih,224,224,1.0,3,81.26
dataset/train\Batik Cendrawasih\68.jpg,Batik Cendrawasih,224,224,1.0,3,200.32
dataset/train\Batik Cendrawasih\69.jpg,Batik Cendrawasih,224,224,1.0,3,54.65
dataset/train\Batik Cendrawasih\7.jpg,Batik Cendrawasih,224,224,1.0,3,103.36
dataset/train\Batik Cendrawasih\8.jpg,Batik Cendrawasih,224,224,1.0,3,88.28
dataset/train\Batik Cendrawasih\9.jpg,Batik Cendrawasih,224,224,1.0,3,189.57
dataset/train\Batik Dayak\0.jpg,Batik Dayak,224,224,1.0,3,125.51
dataset/train\Batik Dayak\1.jpg,Batik Dayak,224,224,1.0,3,145.15
dataset/train\Batik Dayak\10.jpg,Batik Dayak,224,224,1.0,3,118.69
dataset/train\Batik Dayak\11.jpg,Batik Dayak,224,224,1.0,3,174.61
dataset/train\Batik Dayak\12.jpg,Batik Dayak,224,224,1.0,3,132.17
dataset/train\Batik Dayak\13.jpg,Batik Dayak,224,224,1.0,3,117.52
dataset/train\Batik Dayak\14.jpg,Batik Dayak,224,224,1.0,3,70.8
dataset/train\Batik Dayak\15.jpg,Batik Dayak,224,224,1.0,3,142.64
dataset/train\Batik Dayak\16.jpg,Batik Dayak,224,224,1.0,3,80.67
dataset/train\Batik Dayak\17.jpg,Batik Dayak,224,224,1.0,3,128.49
dataset/train\Batik Dayak\18.jpg,Batik Dayak,224,224,1.0,3,178.65
dataset/train\Batik Dayak\19.jpg,Batik Dayak,224,224,1.0,3,81.3
dataset/train\Batik Dayak\2.jpg,Batik Dayak,224,224,1.0,3,106.42
dataset/train\Batik Dayak\20.jpg,Batik Dayak,224,224,1.0,3,85.79
dataset/train\Batik Dayak\21.jpg,Batik Dayak,224,224,1.0,3,107.72
dataset/train\Batik Dayak\22.jpg,Batik Dayak,224,224,1.0,3,111.93
dataset/train\Batik Dayak\23.jpg,Batik Dayak,224,224,1.0,3,97.73
dataset/train\Batik Dayak\24.jpg,Batik Dayak,224,224,1.0,3,109.36
dataset/train\Batik Dayak\25.jpg,Batik Dayak,224,224,1.0,3,79.99
dataset/train\Batik Dayak\26.jpg,Batik Dayak,224,224,1.0,3,153.69
dataset/train\Batik Dayak\27.jpg,Batik Dayak,224,224,1.0,3,148.48
dataset/train\Batik Dayak\28.jpg,Batik Dayak,224,224,1.0,3,161.42
dataset/train\Batik Dayak\29.jpg,Batik Dayak,224,224,1.0,3,102.35
dataset/train\Batik Dayak\3.jpg,Batik Dayak,224,224,1.0,3,195.75
dataset/train\Batik Dayak\30.jpg,Batik Dayak,224,224,1.0,3,197.03
dataset/train\Batik Dayak\31.jpg,Batik Dayak,224,224,1.0,3,108.98
dataset/train\Batik Dayak\32.jpg,Batik Dayak,224,224,1.0,3,130.69
dataset/train\Batik Dayak\33.jpg,Batik Dayak,224,224,1.0,3,137.17
dataset/train\Batik Dayak\34.jpg,Batik Dayak,224,224,1.0,3,61.63
dataset/train\Batik Dayak\35.jpg,Batik Dayak,224,224,1.0,3,111.57
dataset/train\Batik Dayak\36.jpg,Batik Dayak,224,224,1.0,3,91.02
dataset/train\Batik Dayak\37.jpg,Batik Dayak,224,224,1.0,3,107.36
dataset/train\Batik Dayak\38.jpg,Batik Dayak,224,224,1.0,3,85.89
dataset/train\Batik Dayak\39.jpg,Batik Dayak,224,224,1.0,3,117.39
dataset/train\Batik Dayak\4.jpg,Batik Dayak,224,224,1.0,3,114.95
dataset/train\Batik Dayak\40.jpg,Batik Dayak,224,224,1.0,3,161.63
dataset/train\Batik Dayak\41.jpg,Batik Dayak,224,224,1.0,3,55.61
dataset/train\Batik Dayak\42.jpg,Batik Dayak,224,224,1.0,3,105.84
dataset/train\Batik Dayak\43.jpg,Batik Dayak,224,224,1.0,3,79.56
dataset/train\Batik Dayak\44.jpg,Batik Dayak,224,224,1.0,3,114.88
dataset/train\Batik Dayak\45.jpg,Batik Dayak,224,224,1.0,3,125.74
dataset/train\Batik Dayak\46.jpg,Batik Dayak,224,224,1.0,3,132.55
dataset/train\Batik Dayak\47.jpg,Batik Dayak,224,224,1.0,3,111.46
dataset/train\Batik Dayak\48.jpg,Batik Dayak,224,224,1.0,3,120.91
dataset/train\Batik Dayak\49.jpg,Batik Dayak,224,224,1.0,3,106.91
dataset/train\Batik Dayak\5.jpg,Batik Dayak,224,224,1.0,3,87.5
dataset/train\Batik Dayak\50.jpg,Batik Dayak,224,224,1.0,3,91.57
dataset/train\Batik Dayak\51.jpg,Batik Dayak,224,224,1.0,3,103.45
dataset/train\Batik Dayak\52.jpg,Batik Dayak,224,224,1.0,3,140.11
dataset/train\Batik Dayak\53.jpg,Batik Dayak,224,224,1.0,3,105.65
dataset/train\Batik Dayak\54.jpg,Batik Dayak,224,224,1.0,3,78.52
dataset/train\Batik Dayak\55.jpg,Batik Dayak,224,224,1.0,3,83.19
dataset/train\Batik Dayak\56.jpg,Batik Dayak,224,224,1.0,3,93.3
dataset/train\Batik Dayak\57.jpg,Batik Dayak,224,224,1.0,3,129.99
dataset/train\Batik Dayak\58.jpg,Batik Dayak,224,224,1.0,3,118.5
dataset/train\Batik Dayak\59.jpg,Batik Dayak,224,224,1.0,3,84.93
dataset/train\Batik Dayak\6.jpg,Batik Dayak,224,224,1.0,3,186.16
dataset/train\Batik Dayak\60.jpg,Batik Dayak,224,224,1.0,3,72.27
